,name,company,year,Price,kms_driven,fuel_type
591,Maruti Suzuki Zen,Maruti,2009,0.03094462540716612,0.0,Petrol
592,Mahindra Scorpio SLX,Mahindra,2008,0.08306188925081433,0.2,Diesel
593,Hyundai Santro AE,Hyundai,2011,0.04397394136807818,0.1125,Petrol
594,Maruti Suzuki Swift,Maruti,2009,0.07166123778501628,0.1275,Diesel
595,Mahindra Xylo D2,Mahindra,2011,0.11726384364820847,0.12000000000000001,Diesel
596,Hyundai Santro,Hyundai,2003,0.00977198697068404,0.1275,Petrol
597,Chevrolet Beat LT,Chevrolet,2015,0.06026058631921824,0.225,Diesel
598,Maruti Suzuki Swift,Maruti,2015,0.1449511400651466,0.10750000000000001,Diesel
599,Mahindra XUV500 W8,Mahindra,2015,0.2830618892508143,0.1325,Diesel
600,Toyota Fortuner 3.0,Toyota,2013,0.47850162866449514,0.24250000000000002,Diesel
601,Maruti Suzuki Alto,Maruti,2013,0.06840390879478828,0.05,Petrol
602,Hyundai Getz GLE,Hyundai,2007,0.022475570032573288,0.1375,Petrol
603,Maruti Suzuki Swift,Maruti,2014,0.07491856677524429,0.30000000000000004,Diesel
604,Hyundai Creta 1.6,Hyundai,2019,0.3811074918566775,0.0,Petrol
605,Hyundai Santro Xing,Hyundai,2007,0.027687296416938113,0.115,Petrol
606,Hyundai Santro Xing,Hyundai,2009,0.018892508143322474,0.10800000000000001,Petrol
607,Mahindra Xylo D2,Mahindra,2011,0.11726384364820847,0.14,Diesel
608,Hyundai Santro Xing,Hyundai,2007,0.03420195439739414,0.10500000000000001,Petrol
609,Tata Indica V2,Tata,2009,0.019543973941368076,0.07650000000000001,Diesel
610,Hyundai i10 Sportz,Hyundai,2011,0.06188925081433225,0.095,Petrol
611,Hyundai Grand i10,Hyundai,2017,0.1286641693811075,0.0063750000000000005,Petrol
612,Hyundai Santro Xing,Hyundai,2007,0.03420195439739414,0.11750000000000001,Petrol
613,Honda City 1.5,Honda,2005,0.021172638436482084,0.10250000000000001,Petrol
614,Nissan Micra XL,Nissan,2017,0.13029315960912052,0.15625,Diesel
615,Honda City 1.5,Honda,2005,0.027687296416938113,0.17,Petrol
616,Maruti Suzuki Alto,Maruti,2015,0.06026058631921824,0.125,Petrol
617,Maruti Suzuki Wagon,Maruti,2004,0.0074918566775244305,0.17250000000000001,Petrol
618,Maruti Suzuki Ertiga,Maruti,2012,0.1530944625407166,0.12000000000000001,Diesel
619,Tata Indica eV2,Tata,2012,0.017915309446254073,0.1375,Diesel
620,Maruti Suzuki Omni,Maruti,2013,0.04397394136807818,0.0625,Petrol
621,Hyundai Eon Era,Hyundai,2014,0.05537459283387622,0.07100000000000001,Petrol
622,Hyundai Eon,Hyundai,2014,0.05537459283387622,0.07,Petrol
623,Maruti Suzuki Swift,Maruti,2015,0.12866449511400652,0.10500000000000001,Diesel
624,Hyundai Verna 1.6,Hyundai,2012,0.18566775244299674,0.07250000000000001,Diesel
625,Chevrolet Tavera LS,Chevrolet,2005,0.03257328990228013,0.17121250000000002,Diesel
626,Tata Tiago Revotron,Tata,2018,0.13029315960912052,0.00875,Petrol
627,Tata Tiago Revotorq,Tata,2019,0.1754071661237785,0.0,Petrol
628,Maruti Suzuki Zen,Maruti,2006,0.013355048859934854,0.08,Petrol
629,Mahindra KUV100 K8,Mahindra,2018,0.17263843648208468,0.02,Diesel
630,Ford EcoSport Titanium,Ford,2014,0.18241042345276873,0.085,Diesel
631,Hindustan Motors Ambassador,Hindustan,1995,0.23452768729641693,0.09250000000000001,Petrol
632,Ford Fusion 1.4,Ford,2007,0.03094462540716612,0.2136375,Diesel
633,Hyundai Santro Xing,Hyundai,2007,0.03420195439739414,0.115,Petrol
634,Hyundai Santro,Hyundai,2002,0.00977198697068404,0.11750000000000001,Petrol
635,Fiat Linea Emotion,Fiat,2009,0.02931596091205212,0.16,Petrol
636,Ford Ikon 1.3,Ford,2008,0.021172638436482084,0.115,Petrol
637,Maruti Suzuki Omni,Maruti,2017,0.06840390879478828,0.02,Petrol
638,Tata Indica V2,Tata,2012,0.027687296416938113,0.16,Diesel
639,Mahindra Scorpio S4,Mahindra,2015,0.249185667752443,0.1575,Diesel
640,Hyundai Santro Xing,Hyundai,2007,0.008143322475570033,0.1625,Petrol
641,Mahindra Xylo D2,Mahindra,2009,0.08794788273615635,0.155,Diesel
642,Hyundai Grand i10,Hyundai,2014,0.09446254071661238,0.10250000000000001,Petrol
643,Maruti Suzuki Alto,Maruti,2015,0.0765472312703583,0.035,Petrol
644,Toyota Corolla,Toyota,2006,0.042345276872964174,0.1,Petrol
645,Hyundai Eon Magna,Hyundai,2017,0.08794788273615635,0.004,Petrol
646,Tata Sumo Grande,Tata,2010,0.03257328990228013,0.225,Diesel
647,Maruti Suzuki Swift,Maruti,2011,0.07166123778501628,0.14500000000000002,Diesel
648,Volkswagen Polo Highline1.2L,Volkswagen,2013,0.11400651465798045,0.0675,Petrol
649,Maruti Suzuki Alto,Maruti,2003,0.003908794788273615,0.15000000000000002,Petrol
650,Tata Tiago Revotron,Tata,2017,0.12052117263843648,0.0775,Petrol
651,Maruti Suzuki Swift,Maruti,2009,0.02931596091205212,0.225,Diesel
652,Maruti Suzuki Swift,Maruti,2009,0.02931596091205212,0.225,Diesel
653,Tata Indigo eCS,Tata,2016,0.03257328990228013,0.37500000000000006,Diesel
654,Chevrolet Beat LS,Chevrolet,2014,0.05179153094462541,0.0775,Diesel
655,Mahindra Xylo E8,Mahindra,2011,0.10912052117263843,0.10750000000000001,Diesel
656,Hyundai Eon D,Hyundai,2013,0.04560260586319219,0.05,Petrol
657,Tata Sumo Gold,Tata,2013,0.06026058631921824,0.25,Petrol
658,Tata Nano,Tata,2013,0.00977198697068404,0.0175,Petrol
659,Hyundai Elite i20,Hyundai,2017,0.18566742671009773,0.0775,Petrol
660,Hyundai i10 Magna,Hyundai,2009,0.12052117263843648,0.0825,Petrol
661,Hyundai Creta,Hyundai,2016,0.28338762214983715,0.15000000000000002,Diesel
662,Volkswagen Polo,Volkswagen,2013,0.08794755700325732,0.12000000000000001,Diesel
663,Maruti Suzuki Dzire,Maruti,2014,0.11237752442996743,0.0825,Petrol
664,Tata Bolt XM,Tata,2015,0.18566775244299674,0.037500000000000006,Petrol
665,Maruti Suzuki Alto,Maruti,2005,0.013029315960912051,0.11750000000000001,Petrol
666,Maruti Suzuki Alto,Maruti,2005,0.02280130293159609,0.1,Petrol
667,Maruti Suzuki Ritz,Maruti,2010,0.03908794788273616,0.095,Diesel
668,Maruti Suzuki Alto,Maruti,2017,0.06351791530944625,0.03125,Petrol
669,Maruti Suzuki Dzire,Maruti,2009,0.05863192182410423,0.10500000000000001,Petrol
670,Hyundai i20 Asta,Hyundai,2014,0.12866449511400652,0.0775,Petrol
671,Maruti Suzuki Swift,Maruti,2008,0.042996742671009766,0.15000000000000002,Diesel
672,Tata Indica V2,Tata,2005,0.00977198697068404,0.2,Diesel
673,Mahindra Scorpio VLX,Mahindra,2014,0.20195439739413681,0.1925,Diesel
674,Toyota Innova 2.5,Toyota,2012,0.23452768729641693,0.18750000000000003,Diesel
675,Mahindra Xylo E8,Mahindra,2010,0.11237785016286644,0.1,Diesel
676,Hyundai i20 Magna,Hyundai,2011,0.06514657980456026,0.11750000000000001,Petrol
677,Maruti Suzuki Omni,Maruti,2000,0.001954071661237785,0.15000000000000002,Petrol
678,Mahindra KUV100,Mahindra,2016,0.11400651465798045,0.06625,Petrol
679,Mahindra KUV100 K8,Mahindra,2019,0.17263843648208468,0.0071875,Petrol
680,Datsun Go Plus,Datsun,2016,0.08306188925081433,0.03475,Petrol
681,Ford Endeavor 4x4,Ford,2019,0.9348534201954397,0.022500000000000003,Diesel
682,Tata Indica V2,Tata,2005,0.0032570032573289893,0.2,Diesel
683,Hyundai Santro Xing,Hyundai,2006,0.017915309446254073,0.15000000000000002,Petrol
684,Maruti Suzuki Wagon,Maruti,2016,0.11889250814332247,0.05,Petrol
685,Maruti Suzuki Swift,Maruti,2008,0.04723127035830618,0.14500000000000002,Diesel
686,Maruti Suzuki Alto,Maruti,2019,0.12052117263843648,0.0037500000000000003,Petrol
687,Toyota Innova 2.5,Toyota,2011,0.23452768729641693,0.18750000000000003,Diesel
688,Maruti Suzuki Alto,Maruti,2016,0.07166123778501628,0.006125,Petrol
689,Maruti Suzuki Alto,Maruti,2019,0.12866449511400652,0.0040625,Petrol
690,Volkswagen Polo Highline1.2L,Volkswagen,2017,0.16123778501628663,0.1125,Petrol
691,Mahindra Logan,Mahindra,2009,0.03257328990228013,0.1625,Diesel
692,Maruti Suzuki 800,Maruti,2000,0.0,0.0835,Petrol
693,Mahindra Scorpio,Mahindra,2011,0.1449511400651466,0.1503075,Diesel
694,Chevrolet Sail 1.2,Chevrolet,2013,0.08794788273615635,0.07,Petrol
695,Hyundai Santro AE,Hyundai,2003,0.00977198697068404,0.17500000000000002,Petrol
696,Maruti Suzuki Wagon,Maruti,2006,0.02280130293159609,0.0175,Petrol
697,Hyundai Eon,Hyundai,2018,0.07491856677524429,0.0625,Petrol
698,Tata Manza,Tata,2015,0.02280130293159609,0.25,Diesel
699,Toyota Etios G,Toyota,2013,0.0765472312703583,0.10500000000000001,Petrol
700,Toyota Qualis,Toyota,2003,0.04885993485342019,0.25,Diesel
701,Hyundai Santro Xing,Hyundai,2004,0.004885993485342018,0.34373750000000003,Petrol
702,Tata Indica eV2,Tata,2016,0.006677524429967427,0.228,Diesel
703,Honda City 1.5,Honda,2009,0.0781758957654723,0.1375,Petrol
704,Tata Zest XE,Tata,2017,0.08469055374592833,0.30000000000000004,Diesel
705,Mahindra Quanto C4,Mahindra,2013,0.09609120521172639,0.1575,Diesel
706,Tata Indigo eCS,Tata,2016,0.042345276872964174,0.26,Diesel
707,Maruti Suzuki Swift,Maruti,2016,0.10423452768729641,0.36500000000000005,Diesel
708,Hyundai Elite i20,Hyundai,2011,0.08469055374592833,0.1,Petrol
709,Hyundai i20 Select,Hyundai,2011,0.08469055374592833,0.1,Petrol
710,Chevrolet Tavera Neo,Chevrolet,2007,0.14169381107491857,0.252,Diesel
